id	parent_id	scientific_name	rank	extinct	english_label	wikidata_id	wikipedia_url	source_id
739J3	62Z46	Melanophila atropurpurea	species	false	Melanophila atropurpurea	Q14922543	https://en.wikipedia.org/wiki/Melanophila_atropurpurea	1190
739J4	5NHB	Melanoperdix niger	species	false	Black Partridge	Q665803	https://en.wikipedia.org/wiki/Black_partridge	2144
739J5	5NH9	Melanopareia maranonica	species	false	Marañón Crescentchest	Q1269505	https://en.wikipedia.org/wiki/Mara%C3%B1%C3%B3n_crescentchest	2144
739JD	5NGY	Melanomys zunigae	species	false	Melanomys zunigae	Q1761271	https://en.wikipedia.org/wiki/Melanomys_zunigae	2144
739JP	8NRW5	Melanoplus scudderi	species	false	Melanoplus scudderi	Q10580730	https://en.wikipedia.org/wiki/Melanoplus_scudderi	1021
739JT	8NRW5	Melanoplus querneus	species	false	Melanoplus querneus	Q10580714	https://en.wikipedia.org/wiki/Melanoplus_querneus	1021
739K2	8NRW5	Melanoplus scapularis	species	false	Melanoplus scapularis	Q10580728	https://en.wikipedia.org/wiki/Melanoplus_scapularis	1021
739KC	8NRW5	Melanoplus franciscanus	species	false	Melanoplus franciscanus	Q10580611	https://en.wikipedia.org/wiki/Melanoplus_franciscanus	1021
739KH	8NRW5	Melanoplus aridus	species	false	Melanoplus aridus	Q10580544	https://en.wikipedia.org/wiki/Melanoplus_aridus	1021
739NN	7P8ML	Megayoldia thraciaeformis	species	false	Yoldia thraciaeformis	Q3797901	https://en.wikipedia.org/wiki/Yoldia_thraciaeformis	1130
739QM	62Z2Y	Melaenornis pammelaina	species	false	Melaenornis pammelaina	Q1306280	https://en.wikipedia.org/wiki/Southern_black_flycatcher	2144
739TV	62Z5J	Melipona rufiventris	species	false	Melipona rufiventris	Q2784498	https://en.wikipedia.org/wiki/Melipona_rufiventris	2144
739W6	5NSK	Melittia acosmetes	species	false	Melittia acosmetes	Q2006612	https://en.wikipedia.org/wiki/Melittia_acosmetes	55353
739XM	5NWH	Melozone cabanisi	species	false	Cabanis's ground sparrow	Q12263362	https://en.wikipedia.org/wiki/Cabanis%27s_ground_sparrow	2144
739XS	5NVL	Melomys lutillus	species	false	Melomys lutillus	Q2799200	https://en.wikipedia.org/wiki/Papua_grassland_mosaic-tailed_rat	2144
739XZ	5NVB	Melolontha malaccensis	species	false	Melolontha malaccensis	Q14853349	https://en.wikipedia.org/wiki/Melolontha_malaccensis	1027
73B36	5PGH	Merunympha nipha	species	false	Merunympha nipha	Q6820784	https://en.wikipedia.org/wiki/Merunympha	1031
73B3J	62YWJ	Mertensophryne schmidti	species	false	Mertensophryne schmidti	Q2213063	https://en.wikipedia.org/wiki/Mertensophryne_schmidti	2144
73B63	5PDH	Meroglossa ocellata	species	false	Meroglossa ocellata	Q2163129	https://en.wikipedia.org/wiki/Meroglossa_ocellata	2144
73B6P	92FBX	Merophyas immersana	species	false	Merophyas immersana	Q13838677	https://en.wikipedia.org/wiki/Merophyas_immersana	219318
73B8P	62Z7C	Merops gularis	species	false	Black Bee-eater	Q512931	https://en.wikipedia.org/wiki/Black_bee-eater	2144
